kanda,sarga,shloka,shloka_text,explanation
Bala Kanda,1,29,पौरैरनुगतो दूरं पित्रा दशरथेन च ।।1.1.28।। शृङ्गिबेरपुरे सूतं गङ्गाकूले व्यसर्जयत् । गुहमासाद्य धर्मात्मा निषादाधिपतिं प्रियम् ।।1.1.29।। गुहेन सहितो रामो लक्ष्मणेन च सीतया ।,"The citizens and Dasaratha followed Rama for a long distance. Rama of righteous nature having approached Guha, king of nishadas, at Shrungiberapura sent back charioteer Sumantra and Rama along with Sita and Lakshmana crossed river Ganga."
Bala Kanda,1,30,ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदका: ।।1.1.30।। चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् । रम्यमावसथं कृत्वा रममाणा वने त्रय: ।।1.1.31।। देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् ।,"Moving from one forest to another and crossing deep and wide rivers with plenty of waters, reached the Chitrakuta mountain by the command of sage Bharadwaja. They raised a hut made of leaves in the forest located in Chitrakuta mountain. and dwelt there happily resembling devas and gandharvas."
Bala Kanda,1,31,ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदका: ।।1.1.30।। चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् । रम्यमावसथं कृत्वा रममाणा वने त्रय: ।।1.1.31।। देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् ।,"Moving from one forest to another and crossing deep and wide rivers with plenty of waters, reached the Chitrakuta mountain by the command of sage Bharadwaja. They raised a hut made of leaves in the forest located in Chitrakuta mountain. and dwelt  there happily resembling devas and gandharvas."
Bala Kanda,1,32,चित्रकूटं गते रामे पुत्रशोकातुरस्तथा ।।1.1.32।। राजा दशरथस्स्वर्गं जगाम विलपन्सुतम् ।,"When Rama had set out to Chitrakuta, king Dasaratha, stricken by the grief over the separation from his son and mourning over him departed to heavens."
Bala Kanda,1,33,मृते तु तस्मिन्भरतो वसिष्ठप्रमुखैर्द्विजै: ।। 1.1.33।। नियुज्यमानो राज्याय नैच्छद्राज्यं महाबल:।,"After Dasaratha had passed away, mighty Bharata did not desire to rule the kingdom  against the orders by Vasishta and other brahmins."
Bala Kanda,1,34,स जगाम वनं वीरो रामपादप्रसादक: ।। 1.1.34 ।।,"The brave Bharata, who had conquered envy and hatred went to the forest in order to worship Rama's feet."
Bala Kanda,1,35,गत्वा तु सुमहात्मानं रामं सत्यपराक्रमम् । अयाचद्भ्रातरं राममार्यभावपुरस्कृत: ।।1.1.35।। त्वमेव राजा धर्मज्ञ इति रामं वचोऽब्रवीत् ।,"Bharata reached Rama, so pleasing venerable, truthful and chivalrous, worshipped him with reverence and implored. Bharata addressing Rama said, 'You are knower of righteousness. You alone should  be the king (meaning that when the elder brother is alive, the younger brother is prohibited from ruling the kingdom)'."
Bala Kanda,1,36,रामोऽपि परमोदारस्सुमुखस्सुमहायशा: । न चैच्छत्पितुरादेशाद्राज्यं रामो महाबल: ।।1.1.36।।,"Although a source of universal delight, although exceedingly generous and of cheerful countenance, highly renowned and capable Rama refused to accept the kingdom in accordance with the command of his father."
Bala Kanda,1,37,पादुके चास्य राज्याय न्यासं दत्वा पुन:पुन: । निवर्तयामास ततो भरतं भरताग्रज: ।।1.1.37।।,"Having handed over his sandals to Bharata as symbol of authority for ruling the kingdom, Rama persuaded him again and again to return to the capital."
Bala Kanda,1,38,स काममनवाप्यैव रामपादावुपस्पृशन् ।।1.1.38।। नन्दिग्रामेऽकरोद्राज्यं रामागमनकाङ्क्षया ।,"Disaaponted in his mission to take Rama back, Bharata worshipped the sandals of Rama and ruled the kingdom from Nandigrama, awaiting his return."
Bala Kanda,1,39,गते तु भरते श्रीमान् सत्यसन्धो जितेन्द्रिय: ।।1.1.39।। रामस्तु पुनरालक्ष्य नागरस्य जनस्य च । तत्रागमनमेकाग्रो दण्डकान्प्रविवेश ह ।।1.1.40।।,"When Bharata departed, Sri Rama, a man of good fortune and steadfast in vows  one who had conquered under control perceiving that the citizens from Ayodhya would arrive there, entered the Dandaka forest with single minded determination (so that there would not be breach of his promise)."
Bala Kanda,1,40,गते तु भरते श्रीमान् सत्यसन्धो जितेन्द्रिय: ।।1.1.39।। रामस्तु पुनरालक्ष्य नागरस्य जनस्य च । तत्रागमनमेकाग्रो दण्डकान्प्रविवेश ह ।।1.1.40।।,"When Bharata departed, Sri Rama, a man of good fortune and steadfast in vows  one who had conquered under control perceiving that the citizens from Ayodhya would arrive there, entered the Dandaka forest with single minded determination (so that there would not be breach of his promise)."
Bala Kanda,1,41,प्रविश्य तु महारण्यं रामो राजीवलोचनः । विराधं राक्षसं हत्वा शरभङ्गं ददर्श ह ।।1.1.41।। सुतीक्ष्णं चाप्यगस्त्यं च अगस्त्यभ्रातरं तथा ।,"Having entered the dense forest Dandaka, Rama slew the demon Viradha and saw the sages Sarabhanga, Sutikshna and Agastya with his brother."
Bala Kanda,1,42,अगस्त्यवचनाच्चैव जग्राहैन्द्रं शरासनम् ।।1.1.42।। खड्गं च परमप्रीतस्तूणी चाक्षयसायकौ ।,"As directed by sage Agastya, Rama received with extreme delight a bow, a sword and quivers with inexhaustible arrows, given by Indra to Agastya (to be passed on to Rama)."
Bala Kanda,1,43,वसतस्तस्य रामस्य वने वनचरैस्सह । ऋषयोऽभ्यागमन्सर्वे वधायासुररक्षसाम् ।।1.1.43।।,"While Rama was dwelling in the forest (in the hermitage of sage Sarabhanga), all the ascetics along with others (sages) inhabiting the forest approached Rama requesting for the destruction of the asuras and rakshasas seizing upon their lives."
Bala Kanda,1,44,स तेषां प्रतिशुश्राव राक्षसानां तथा वने ।।1.1.44।। प्रतिज्ञातश्च रामेण वधस्संयति रक्षसाम् । ऋषीणामग्निकल्पानां दण्डकारण्यवासिनाम् ।।1.1.45।।,"Rama promised those ascetics, who resembled flaming fire in lustre living in Dandakaranya inhabited by rakshasas to slay them."
Bala Kanda,1,45,स तेषां प्रतिशुश्राव राक्षसानां तथा वने ।।1.1.44।। प्रतिज्ञातश्च रामेण वधस्संयति रक्षसाम् । ऋषीणामग्निकल्पानां दण्डकारण्यवासिनाम् ।।1.1.45।।,"Rama promised those ascetics, who resembled flaming fire in lustre living in Dandakaranya inhabited by rakshasas to slay them."
Bala Kanda,1,46,तेन तत्रैव वसता जनस्थाननिवासिनी । विरूपिता शूर्पणखा राक्षसी कामरूपिणी ।।1.1.46।।,During his stay there a demon called Surpanakha living in Janasthana (resting place for the army of Ravana in Dandakaranya) and capable of assuming any form at will was rendered deformed by Lakshmana.
Bala Kanda,1,47,ततश्शूर्पणखावाक्यादुद्युक्तान्सर्वराक्षसान् । खरं त्रिशिरसं चैव दूषणं चैव राक्षसम् ।।1.1.47।। निजघान वने रामस्तेषां चैव पदानुगान् ।,"Thereafter Rama killed in the fight all the rakshasas, Khara, Trisira, and Dushana with their followers in a battle who were instigated by  Surpanakha's words."
Bala Kanda,1,48,वने तस्मिन्निवसता जनस्थाननिवासिनाम् ।।1.1.48।। रक्षसां निहतान्यासन्सहस्राणि चतुर्दश ।,During his stay in that forest Rama killed fourteen thousand rakshasas who were inhabitants of Janasthana.
Bala Kanda,1,49,ततो ज्ञातिवधं श्रुत्वा रावणः क्रोधमूर्छितः ।।1.1.49।। सहायं वरयामास मारीचं नाम राक्षसम् ।,"Having heard the slaughter of fellow rakshasa, Ravana became violent with anger and sought the help of a rakshasa named Maricha."
Bala Kanda,1,50,वार्यमाणस्सुबहुशो मारीचेन स रावणः ।।1.1.50।। न विरोधो बलवता क्षमो रावण तेन ते ।,"Maricha repeatedly dissuaded him saying, 'O Ravana It  is not proper for you to enter into hostility with the  mighty and powerful Rama'."
Bala Kanda,1,51,अनादृत्य तु तद्वाक्यं रावण: कालचोदित: ।।1.1.51।। जगाम सह मारीचस्तस्याश्रमपदं तदा ।,Disregarding his words Ravana incited by fate left for the hermitage of Rama along with Maricha.
Bala Kanda,1,52,तेन मायाविना दूरमपवाह्य नृपात्मजौ ।।1.1.52।। जहार भार्यां रामस्य गृध्रं हत्वा जटायुषम् ।,"He with the help of deceitful Maricha drew the princes (Rama and Lakshmana) far away from their hermitage abducted Sita the wife of Rama and  slaughtered vulture Jatayu,"
Bala Kanda,1,53,गृध्रं च निहतं दृष्ट्वा हृतां श्रुत्वा च मैथिलीम् ।।1.1.53।। राघवश्शोकसन्तप्तो विललापाकुलेन्द्रिय: ।,"Having seen and heard from the eagle Jatayu struck down by Ravana that Sita had been abducted Rama bewailed, choked with tears his senses dulled by distress."
Bala Kanda,1,54,ततस्तेनैव शोकेन गृध्रं दग्ध्वा जटायुषम् ।।1.1.54।। मार्गमाणो वने सीतां राक्षसं सन्ददर्श ह । कबन्धन्नाम रूपेण विकृतं घोरदर्शनम् ।।1.1.55।।,"Then he performed in the midst of tears the funeral rites of the vulture Jatayu. Wandering in search of Sita, he beheld a rakshasa named Kabandha who was dreadful, in deformed in appearance."
Bala Kanda,1,55,ततस्तेनैव शोकेन गृध्रं दग्ध्वा जटायुषम् ।।1.1.54।। मार्गमाणो वने सीतां राक्षसं सन्ददर्श ह । कबन्धन्नाम रूपेण विकृतं घोरदर्शनम् ।।1.1.55।।,"Then he performed in the midst of tears the funeral rites of the vulture Jatayu. Wandering in search of Sita, he beheld a rakshasa named Kabandha who was dreadful, in deformed in appearance."
Bala Kanda,1,56,तं निहत्य महाबाहुर्ददाह स्वर्गतश्च  स: । स चास्य कथयामास शबरीं धर्मचारिणीम् ।।1.1.56।। श्रमणीं धर्मनिपुणामभिगच्छेति राघव । 1151,"Mightyarmed Rama, having killed Kabandha, consigned his body to flames. While leaving for heavens he informed him saying, 'O Raghava, there is a female ascetic in Sabara community, performing religious duties and proficient in practising austerities. You may visit her'."
Bala Kanda,1,57,सोऽभ्यगच्छन्महातेजाश्शबरीं शत्रुसूदन: ।।1.1.57।। शबर्या पूजितस्सम्यग्रामो दशरथात्मज: ।,"Rama son of Dasaratha, destroyer of enemies and possessing great splendour approached Sabari who duly worshipped him৷৷"
Bala Kanda,1,58,पम्पातीरे हनुमता सङ्गतो वानरेण ह ।।1.1.58।। हनुमद्वचनाच्चैव सुग्रीवेण समागत: ।,On the bank of Pampa he met a monkey named Hanuman on whose advice he made friendship with Sugriva.
Bala Kanda,1,59,सुग्रीवाय च तत्सर्वं शंसद्रामो महाबल: ।।1.1.59।। आदितस्तद्यथावृत्तं सीतायाश्च विशेषत: ।,"Mighty  Rama related to Sugriva all that had happened right from the beginning, more importantly Sita's abduction and also to Hanuman."
Bala Kanda,1,60,सुग्रीवश्चापि तत्सर्वं श्रुत्वा रामस्य वानर: ।।1.1.60।। चकार सख्यं रामेण प्रीतश्चैवाग्निसाक्षिकम् ।,"Hearing everything that story from Rama, Sugriva was very pleased and made a pact with Rama in the presence of Agni as witness."
Bala Kanda,1,61,ततो वानरराजेन वैरानुकथनं प्रति ।।1.1.61।। रामायावेदितं सर्वं प्रणयाद्दु:खितेन च ।,"Thereafter Sugriva, king of monkeys filled with sorrow narrated to Rama out of friendship the entire account of his hostilities (with Vali)."
Bala Kanda,1,62,प्रतिज्ञातं च रामेण तदा वालिवधं प्रति ।।1.1.62।। वालिनश्च बलं तत्र कथयामास वानर: ।,Then Rama vowed to slay Vali. The monkey (Sugriva) described about Vali's prowess to Rama.
Bala Kanda,1,63,सुग्रीवश्शङ्कितश्चासीन्नित्यं वीर्येण राघवे ।।1.1.63।। राघवप्रत्ययार्थं तु दुन्दुभे: कायमुत्तमम् । दर्शयामास सुग्रीवो महापर्वतसन्निभम् ।।1.1.64।।,Doubtful of the prowess Sugriva of Rama Sugriva inorder to get convinced showed him the huge (dead) body of Dundubhi resembling a big mountain.
Bala Kanda,1,64,सुग्रीवश्शङ्कितश्चासीन्नित्यं वीर्येण राघवे ।।1.1.63।। राघवप्रत्ययार्थं तु दुन्दुभे: कायमुत्तमम् । दर्शयामास सुग्रीवो महापर्वतसन्निभम् ।।1.1.64।।,Doubtful of the prowess Sugriva of Rama Sugriva inorder to get convinced showed him the huge (dead) body of Dundubhi resembling a big mountain.
Bala Kanda,1,65,उत्स्मयित्वा महाबाहु: प्रेक्ष्य चास्थि महाबल: । पादाङ्गुष्ठेन चिक्षेप सम्पूर्णं दशयोजनम् ।।1.1.65।।,"The strongarmed Rama, who was endowed with great strength looked at the skeleton and smiled within himself for a while. He kicked off the skeleton with the great toe of his foot completely to a full distance of ten yojanas (eighty miles)."
Bala Kanda,1,66,बिभेद च पुनस्सालान्सप्तैकेन महेषुणा । गिरिं रसातलं चैव जनयन्प्रत्ययं तथा ।।1.1.66।।,"Again inorder to create confidence (in Sugriva), he released a single mighty shaft which penetrated seven palmyra trees, a mountain and the Rasatala."
Bala Kanda,1,67,तत: प्रीतमनास्तेन विश्वस्तस्स महाकपि: । किष्किन्धां रामसहितो जगाम च गुहां तदा ।।1.1.67।।,Pleased with Rama's action and convinced of his prowess he left thereafter with Rama he left for Kishkindha which was like a cave.
Bala Kanda,1,68,ततोऽगर्जद्धरिवर: सुग्रीवो हेमपिङ्गल: । तेन नादेन महता निर्जगाम हरीश्वर: ।।1.1.68।।,"On entering the city of Kishkindha, Sugriva the best of monkeys of reddish yellow hue roared with a great voice. There upon Vali, the lord of monkeys came out (of the cave)."
Bala Kanda,1,69,अनुमान्य तदा तारां सुग्रीवेण समागत: । निजघान च तत्रैनं शरेणैकेन राघव: ।।1.1.69।।,"After convincing his wife Tara, who was dissuading from this, Vali entered into a combat with Sugriva. There, Rama killed Vali with a single shaft."
Bala Kanda,1,70,ततस्सुग्रीववचनाद्धत्वा वालिनमाहवे । सुग्रीवमेव तद्राज्ये राघव: प्रत्यपादयत् ।।1.1.70।।,"After he killed Vali in the combat in compliance with the words of Sugriva, Rama installed Sugriva as  king."
Bala Kanda,1,71,स च सर्वान्समानीय वानरान्वानरर्षभ: । दिश: प्रस्थापयामास दिदृक्षुर्जनकात्मजाम् ।।1.1.71।।,The best of monkeys (Sugriva) gathered his monkey forces and despatched them in various directions in search of Janaka's daughter (Sita).
Bala Kanda,1,72,ततो गृध्रस्य वचनात्सम्पातेर्हनुमान्बली। शतयोजनविस्तीर्णं पुप्लुवे लवणार्णवम्।।1.1.72।।,"At the suggestion of the vulture, Sampathi mighty Hanuman leapt over the saltocean extending over a hundred yojanas."
Bala Kanda,1,73,तत्र लङ्कां समासाद्य पुरीं रावणपालिताम् । ददर्श सीतां ध्यायन्तीमशोकवनिकां गताम् ।।1.1.73।।,Hanuman arrived at the city of Lanka ruled by Ravana and found Sita in the Ashoka garden meditating on Rama.
Bala Kanda,1,74,निवेदयित्वाऽऽभिज्ञानं प्रवृत्तिं च निवेद्य च । समाश्वास्य च वैदेहीं मर्दयामास तोरणम् ।।1.1.74।।,"Hanuman delivered Rama's ring to Sita as a token of recognition, related the whole story and consoled her. He then crushed the arch (of the outer gate of the garden) before leaving."
Bala Kanda,1,75,पञ्च सेनाग्रगान्हत्वा सप्तमन्त्रिसुतानपि । शूरमक्षं च निष्पिष्य ग्रहणं समुपागमत् ।।1.1.75।।,"After killing five commanders, seven sons of the counsellors, stamping out valiant Akshayakumara, the son of Ravana, Hanuman got himself captured (to be taken as captive)."
Bala Kanda,1,76,अस्त्रेणोन्मुक्तमात्मानं ज्ञात्वा पैतामहाद्वरात् । मर्षयन्राक्षसान्वीरो यन्त्रिणस्तान्यदृच्छया ।।1.1.76।। ततो दग्ध्वा पुरीं लङ्कामृते सीतां च मैथिलीम् । रामाय प्रियमाख्यातुं पुनरायान्महाकपि: ।।1.1.77।।,"The heroic Hanuman came to know that he could be released from the entanglements of the weapon granted to him through a boon by Brahma. He allowed himself to be restrained by the rakshasas with the ropes for the sake of achieving his other objective of seeing Ravana. Thereafter, he burnt the whole of Lanka except the place where Sita was and returned to deliver the good news to Rama."
Bala Kanda,1,77,अस्त्रेणोन्मुक्तमात्मानं ज्ञात्वा पैतामहाद्वरात् । मर्षयन्राक्षसान्वीरो यन्त्रिणस्तान्यदृच्छया ।।1.1.76।। ततो दग्ध्वा पुरीं लङ्कामृते सीतां च मैथिलीम् । रामाय प्रियमाख्यातुं पुनरायान्महाकपि: ।।1.1.77।।,"The heroic Hanuman came to know that he could be released from the entanglements of the weapon granted to him through a boon by Brahma. He allowed himself to be restrained by the rakshasas with the ropes for the sake of achieving his other objective of seeing Ravana. Thereafter, he burnt the whole of Lanka except the place where Sita was and returned to deliver the good news to Rama."
Bala Kanda,1,78,सोऽधिगम्य महात्मानं कृत्वा रामं प्रदक्षिणम् । न्यवेदयदमेयात्मा दृष्टा सीतेति तत्त्वत: ।।1.1.78।।,Reaching Rama the great Hanuman gifted with boundless intellect circumambulated him and infact informed him that he had seen Sita.
Bala Kanda,1,79,ततस्सुग्रीवसहितो गत्वा तीरं महोदधे: । समुद्रं क्षोभयामास शरैरादित्यसन्निभै: ।।1.1.79।।,"Thereafter, Rama reached the shore of the ocean together with Sugriva and saw the ocean agitated with shafts burning like the Sun."
Bala Kanda,1,80,दर्शयामास चात्मानं समुद्रस्सरितां पति: । समुद्रवचनाच्चैव नलं सेतुमकारयत् ।।1.1.80।।,"Samudra, lord of rivers, (afraid of Rama's anger) and having appeared in his own form, and on his advice got a bridge built with the help of Nala."
Bala Kanda,1,81,तेन गत्वा पुरीं लङ्कां हत्वा रावणमाहवे । राम: सीतामनुप्राप्य परां व्रीडामुपागमत् ।।1.1.81।।,"Rama entered the city of Lanka by means of that bridge, killed Ravana in the battle and recovered Sita. Thereafter he felt greatly embarassed (for accepting his wife who had stayed in an others."
Bala Kanda,1,82,तामुवाच ततो राम: परुषं जनसंसदि । अमृष्यमाणा सा सीता विवेश ज्वलनं सती ।।1.1.82।।,"Rama spoke harsh words about Sita in the assembly. Sita, incapable of enduring such words, entered fire."
